"Name","Color","Rarity","# Seen","ALSA","# Picked","ATA","# GP","% GP","GP WR","# OH","OH WR","# GD","GD WR","# GIH","GIH WR","# GNS","GNS WR","IIH"
"Sire of Seven Deaths","","M","1940","1.09","1819","1.09","11484","99.2%","58.7%","2018","58.9%","3055","66.8%","5073","63.7%","6388","54.6%","9.0pp"
"Arahbo, the First Fang","W","R","3546","1.03","1935","1.03","10342","84.0%","57.8%","1873","63.4%","2571","62.3%","4444","62.8%","5786","53.8%","9.0pp"
"Armasaur Guide","W","C","139587","6.86","12990","10.12","18999","23.2%","52.8%","3193","51.0%","4433","53.1%","7626","52.2%","11400","53.2%","-1.0pp"
"Cat Collector","W","U","20168","2.15","7095","2.40","38670","87.4%","57.2%","6935","59.8%","9596","59.3%","16531","59.5%","22130","55.4%","4.2pp"
"Celestial Armor","W","R","3602","1.03","2246","1.03","12327","87.6%","57.7%","2102","61.7%","3119","63.0%","5221","62.5%","7102","54.1%","8.4pp"
"Claws Out","W","U","43320","4.16","3375","5.80","11409","55.2%","55.2%","1819","50.4%","2752","56.0%","4571","53.8%","6843","56.1%","-2.3pp"
"Crystal Barricade","W","R","7876","1.94","708","2.17","2160","52.6%","49.3%","390","","491","","881","45.9%","1262","51.9%","-6.0pp"
"Dauntless Veteran","W","U","30886","3.04","2911","3.92","13476","77.5%","53.9%","2301","52.8%","3138","52.1%","5439","52.4%","7973","54.8%","-2.4pp"
"Dazzling Angel","W","C","62037","2.53","15935","3.00","90883","90.8%","57.2%","15990","58.7%","22487","58.3%","38477","58.5%","51662","56.0%","2.5pp"
"Divine Resilience","W","U","54984","6.37","7032","8.75","13879","31.5%","52.7%","2205","49.6%","3327","51.9%","5532","51.0%","8220","53.7%","-2.7pp"
"Exemplar of Light","W","R","3720","1.07","2308","1.07","12405","88.1%","56.0%","2118","57.3%","3186","61.1%","5304","59.6%","7104","53.4%","6.2pp"
"Felidar Savior","W","C","61202","2.54","10343","3.20","58729","90.0%","57.8%","9947","57.9%","14573","60.4%","24520","59.4%","33681","56.4%","3.0pp"
"Fleeting Flight","W","C","121827","4.82","13053","6.77","56591","69.4%","56.8%","9256","56.3%","13734","58.4%","22990","57.6%","32728","56.0%","1.6pp"
"Guarded Heir","W","U","33910","3.27","6689","4.02","34197","81.7%","57.0%","5670","56.7%","8412","59.2%","14082","58.2%","19794","55.9%","2.3pp"
"Hare Apparent","W","C","117896","4.62","5642","6.98","12796","37.2%","53.6%","2414","50.5%","2845","51.8%","5259","51.2%","7446","55.3%","-4.0pp"
"Helpful Hunter","W","C","61973","2.53","12563","3.16","70584","89.3%","57.2%","13042","58.9%","17159","58.0%","30201","58.4%","39739","56.3%","2.1pp"
"Herald of Eternal Dawn","W","M","1992","1.15","993","1.15","4857","79.5%","55.4%","802","53.4%","1209","62.3%","2011","58.7%","2845","53.0%","5.7pp"
"Inspiring Paladin","W","C","101915","3.88","8323","5.61","38429","75.4%","55.3%","6706","55.5%","8897","55.1%","15603","55.3%","22840","55.3%","0.0pp"
"Joust Through","W","U","31257","3.04","5297","3.88","29483","88.6%","56.7%","4922","56.9%","7248","58.5%","12170","57.9%","16812","55.7%","2.2pp"
"Luminous Rebuke","W","C","77833","3.07","13789","3.97","77394","89.1%","57.3%","13201","56.8%","19778","59.7%","32979","58.5%","44392","56.3%","2.2pp"
"Prideful Parent","W","C","78077","3.07","8345","4.21","43904","85.7%","55.7%","7794","56.5%","10556","55.4%","18350","55.9%","25224","55.4%","0.5pp"
"Raise the Past","W","R","5305","1.44","489","1.49","1121","39.2%","50.0%","163","","318","","481","","640","51.1%",""
