"Name","Color","Rarity","# Seen","ALSA","# Picked","ATA","# GP","% GP","GP WR","# OH","OH WR","# GD","GD WR","# GIH","GIH WR","# GNS","GNS WR","IIH"
"Anticausal Vestige","","R","11394","1.16","10412","1.16","63627","99.2%","56.0%","11080","59.1%","16830","59.6%","27910","59.4%","35312","53.3%","6.1pp"
"Tezzeret, Cruel Captain","","M","7360","1.49","3815","1.48","19340","85.6%","51.8%","3399","50.8%","5142","52.8%","8541","52.0%","10671","51.6%","0.4pp"
"All-Fates Stalker","W","U","67798","2.62","27271","2.92","152236","89.6%","57.0%","26433","57.7%","38996","61.3%","65429","59.8%","86243","54.7%","5.1pp"
"Astelli Reclaimer","W","R","19233","1.97","8476","2.00","43322","83.9%","55.0%","7267","52.4%","11475","59.0%","18742","56.4%","24455","53.8%","2.6pp"
"Auxiliary Boosters","W","C","386692","5.99","54234","8.68","175502","53.1%","55.0%","28987","52.3%","43585","56.6%","72572","54.9%","102525","55.0%","-0.1pp"
"Banishing Light","W","C","210542","3.09","58995","3.84","327037","89.8%","56.2%","55727","55.6%","83667","60.0%","139394","58.3%","185959","54.6%","3.7pp"
"Beyond the Quiet","W","R","21590","2.23","9345","2.21","45316","78.8%","56.3%","7910","57.1%","11838","60.9%","19748","59.4%","25352","53.8%","5.6pp"
"Brightspear Zealot","W","C","412435","6.96","46976","10.37","70203","24.8%","53.5%","12281","53.1%","17193","53.7%","29474","53.4%","40568","53.5%","-0.1pp"
"Cosmogrand Zenith","W","M","6159","1.28","4953","1.26","29310","94.1%","57.5%","5136","64.0%","7890","63.2%","13026","63.6%","16212","52.6%","10.9pp"
"Dawnstrike Vanguard","W","U","111377","4.21","15423","6.00","60026","65.3%","52.7%","9784","50.1%","14877","53.4%","24661","52.1%","35358","53.1%","-1.0pp"
"Dockworker Drone","W","C","340198","4.98","51857","7.15","251471","80.3%","54.5%","45412","54.2%","60228","54.3%","105640","54.3%","145420","54.7%","-0.4pp"
"Dual-Sun Adepts","W","U","96191","3.56","21546","4.56","114659","87.0%","55.5%","20256","56.1%","28530","57.3%","48786","56.8%","65796","54.5%","2.3pp"
"Dual-Sun Technique","W","U","146420","5.72","16156","8.71","33440","34.7%","52.2%","5338","47.6%","8169","53.3%","13507","51.0%","19931","53.0%","-1.9pp"
"Emergency Eject","W","U","106883","3.99","14535","5.68","60681","70.2%","52.9%","10439","49.9%","15428","55.5%","25867","53.2%","34643","52.6%","0.6pp"
"Exalted Sunborn","W","M","7408","1.53","4470","1.50","23286","86.3%","54.9%","4010","55.9%","6029","58.7%","10039","57.6%","13223","52.8%","4.8pp"
"Exosuit Savior","W","C","389905","6.10","49481","8.99","133736","44.8%","53.5%","22808","49.8%","33954","54.2%","56762","52.4%","76677","54.1%","-1.7pp"
